WRK,SEX,SOCP
1,2,119030
1,1,1110XX
1,2,1191XX
1,1,119030
1,2,119051
1,1,119030
1,1,1110XX
2,2,119151
1,1,119041
1,2,1191XX
1,1,1191XX
1,1,113021
1,2,119041
1,1,1110XX
1,1,1191XX
1,2,113031
1,1,1191XX
1,2,113031
1,1,113021
1,2,119030
1,1,1191XX
1,2,1191XX
1,1,112030
1,1,113021
1,2,111021
1,1,119021
1,2,1191XX
1,2,119051
2,1,112022
1,1,1110XX
2,2,119111
1,2,119051
1,2,112021
1,1,1191XX
2,1,1191XX
1,1,1191XX
2,2,111021
2,2,119030
1,1,1191XX
1,1,111021
1,1,112022
1,2,1110XX
1,1,1110XX
2,2,1191XX
2,1,1191XX
1,1,119013
1,2,119013
1,2,113121
1,1,1110XX
1,1,1110XX
1,2,113031
1,2,119111
1,2,119151
1,1,1110XX
1,2,113031
1,1,1191XX
1,1,113121
1,1,1191XX
1,2,113021
1,1,113071
1,1,1110XX
1,1,1191XX
1,2,119051
2,1,119021
1,1,119021
1,1,1110XX
2,2,111021
1,1,1191XX
2,1,113013
1,2,1110XX
1,1,113071
1,1,1191XX
1,2,112030
1,1,119051
1,1,1110XX
1,2,1110XX
1,1,1110XX
1,1,119013
1,2,113031
1,1,119021
1,1,1191XX
1,1,1191XX
1,2,113031
1,1,1191XX
1,2,112021
1,1,1191XX
1,1,119051
1,2,119030
1,1,111021
1,2,119030
1,1,119013
2,2,1110XX
1,2,1110XX
1,1,1191XX
1,1,112022
1,2,119030
1,1,1191XX
1,2,113012
1,1,1191XX
1,2,113031
2,2,119013
1,1,119141
1,1,1110XX
2,1,1191XX
2,2,119051
1,2,112021
2,1,1191XX
1,1,1110XX
1,2,1110XX
1,2,1191XX
1,2,1191XX
1,1,119021
2,1,1191XX
1,2,113012
1,1,111021
1,1,119021
1,2,1191XX
1,1,113012
1,1,119021
1,2,1191XX
1,1,1191XX
1,1,1191XX
1,2,1191XX
1,2,113121
2,1,1191XX
1,1,119021
2,1,113071
2,2,1191XX
1,1,1191XX
1,2,119141
1,1,119111
1,1,1191XX
1,1,1191XX
1,2,1191XX
1,2,1191XX
1,1,1191XX
1,1,119021
2,1,1191XX
1,1,1191XX
2,1,119051
2,2,1191XX
1,2,1110XX
1,2,113031
2,1,1191XX
1,1,119081
2,1,1191XX
1,2,113031
1,2,1191XX
1,1,1191XX
1,1,1191XX
2,1,119021
1,2,119021
1,1,119021
1,2,111021
1,1,1191XX
2,2,119151
1,1,1191XX
1,2,1191XX
1,2,119111
1,1,112022
1,2,113031
1,2,113051
1,1,1191XX
1,1,119021
1,2,1191XX
1,1,113131
1,1,113071
1,1,119111
1,1,119021
2,2,119141
1,1,119021
1,1,119021
1,1,113021
1,2,1191XX
1,2,1191XX
1,1,1110XX
2,1,113051
2,1,119141
1,1,113071
1,1,1191XX
1,2,113061
1,1,1110XX
1,2,113021
1,2,1191XX
1,2,119111
2,1,119141
1,1,113021
1,2,119151
1,2,1110XX
1,1,1110XX
2,1,113031
1,2,1191XX
1,2,119111
1,2,1191XX
1,1,1110XX
1,2,119111
1,1,1110XX
1,2,1191XX
1,2,119141
1,1,1191XX
1,2,1110XX
1,1,113071
1,1,1191XX
1,2,1191XX
1,2,119051
1,1,1191XX
1,1,1191XX
1,2,119021
1,1,111021
1,1,1191XX
1,1,113061
1,2,119030
1,1,112022
2,2,112021
1,1,119013
1,2,119030
2,2,119111
1,2,119151
1,1,119111
1,2,119111
1,2,119111
1,1,1110XX
2,1,119021
1,2,1191XX
2,1,119051
1,1,119030
1,1,119030
1,2,119030
1,1,113051
1,1,1110XX
1,2,1191XX
2,2,1191XX
1,2,1191XX
1,2,119151
1,2,119111
1,2,113012
1,1,113021
1,1,113121
1,2,119141
1,1,113021
1,1,1191XX
1,1,1191XX
1,2,119111
1,1,119030
1,2,112030
1,1,119081
1,1,111021
1,1,119141
2,1,1110XX
1,1,119111
1,2,112021
1,1,119111
1,2,1110XX
1,1,113031
1,1,112021
1,1,1191XX
1,1,113031
1,1,1191XX
1,1,119041
1,1,111021
1,1,119141
1,2,1191XX
2,1,119051
1,1,119021
1,1,119141
1,1,119021
1,1,113051
1,1,1191XX
2,1,119013
1,2,119030
1,1,113031
2,2,1191XX
2,2,113031
1,1,1110XX
2,2,119051
1,2,1191XX
1,1,1110XX
2,1,1191XX
1,1,113071
1,2,1191XX
1,1,112022
1,1,1191XX
1,2,119030
1,1,112021
1,2,119111
2,1,119041
1,1,1191XX
1,1,112022
1,2,112022
1,2,111021
1,2,113071
1,2,119051
1,2,119030
1,2,1191XX
1,1,1191XX
1,1,1191XX
1,2,119081
1,2,119141
1,2,1110XX
1,2,1110XX
1,1,111021
1,2,112021
1,2,1110XX
1,2,119141
1,2,119030
2,1,1110XX
2,1,119021
1,1,119051
1,1,1191XX
1,1,1191XX
1,2,1191XX
1,2,113131
1,2,113121
1,2,119051
1,1,113031
1,1,119021
1,2,113031
1,1,111021
1,1,119041
1,2,1191XX
1,1,119141
1,2,119013
1,1,113061
1,1,113061
1,2,113031
1,1,1110XX
1,1,1110XX
1,1,1191XX
1,1,113121
1,2,113021
1,1,119030
1,1,1191XX
2,2,1191XX
1,2,119051
1,1,1191XX
2,2,119030
1,2,112011
1,1,119013
1,2,1110XX
1,2,119151
1,1,119021
1,2,113021
1,1,119021
1,1,111021
1,1,112011
1,1,1110XX
1,1,1191XX
2,1,113021
1,2,112021
1,2,112021
1,1,113031
1,1,112021
1,1,1191XX
1,1,113031
1,2,113031
1,2,1110XX
1,1,1110XX
1,1,1191XX
1,2,112021
1,1,119151
2,2,119030
1,2,1191XX
1,1,1191XX
2,2,119030
1,1,112022
1,1,1110XX
1,2,113031
1,2,113061
2,1,119021
1,2,119151
1,1,119141
2,1,111021
2,2,112022
1,2,1191XX
1,2,119111
1,2,119021
1,2,1110XX
1,2,111021
1,1,119021
1,2,119051
1,2,112022
1,2,111021
1,1,113051
1,2,1110XX
2,2,119081
1,2,1191XX
2,1,1191XX
1,1,1110XX
1,2,112021
2,1,119021
1,2,1191XX
1,2,119030
1,1,1191XX
1,1,113021
1,1,1191XX
2,2,119151
2,2,113021
1,1,113031
1,1,1191XX
1,1,1191XX
1,1,1110XX
1,1,1110XX
1,1,119051
1,1,119021
1,1,113071
1,2,119081
1,1,111021
1,2,1191XX
1,2,119030
1,1,1191XX
1,2,119141
2,1,1191XX
1,1,1191XX
1,2,119030
1,1,113131
1,2,119030
1,2,119030
1,1,1191XX
2,1,1110XX
1,1,1191XX
1,2,119151
1,1,1110XX
1,2,112021
1,2,119141
1,1,119141
1,1,111021
1,2,1191XX
1,1,1191XX
1,2,1191XX
2,2,113121
2,2,1191XX
1,1,119041
2,1,1191XX
1,1,119041
2,2,1191XX
2,1,112021
1,2,119141
2,1,1110XX
1,1,119021
1,1,119013
1,1,112021
1,1,113013
1,2,119051
1,2,119030
1,2,113021
1,1,113021
1,1,119141
1,1,1191XX
2,1,113013
1,1,1191XX
1,1,112022
1,1,112022
1,1,119041
1,2,112011
1,1,111021
1,2,1191XX
1,1,1191XX
1,2,112021
1,2,112021
1,1,1191XX
1,2,119030
1,1,119151
1,1,113121
1,2,112011
1,2,1191XX
1,2,1191XX
1,1,1110XX
1,1,1110XX
1,1,1191XX
1,1,112022
1,1,113021
1,1,119141
1,2,1191XX
1,1,112021
1,1,112022
1,1,113071
1,1,1191XX
1,1,119021
1,1,119141
1,2,113111
1,1,119030
1,1,113121
2,2,113013
1,1,1110XX
1,2,113121
1,2,1191XX
1,1,1191XX
1,2,119141
1,1,1191XX
2,2,113031
1,1,1110XX
1,1,1191XX
1,1,119021
1,2,1191XX
2,1,1191XX
1,1,119141
1,1,113021
1,2,119051
1,1,119030
1,2,113051
1,2,111021
1,1,111021
2,2,1191XX
1,1,113031
2,2,119051
2,2,113051
1,2,119051
1,1,119051
1,1,112021
1,2,113051
1,1,1191XX
1,1,1191XX
1,1,1191XX
2,2,1191XX
1,1,113021
1,2,119141
2,1,119013
1,2,112030
1,1,1191XX
1,1,1110XX
1,1,1191XX
1,2,113031
1,1,119030
2,1,1110XX
1,1,1110XX
1,1,112021
1,1,1191XX
1,2,112022
1,1,111021
1,1,1110XX
2,1,113021
2,1,1191XX
2,2,119030
1,1,119021
1,2,1191XX
1,2,119030
1,1,113021
2,1,119021
1,2,112011
1,2,1191XX
1,1,1110XX
1,2,113031
1,1,1191XX
2,1,119021
1,1,113051
1,2,113031
1,1,113071
1,1,119041
1,1,1191XX
2,1,113071
1,1,112021
2,2,1191XX
2,2,113031
1,1,113031
2,1,119021
1,1,119021
1,2,113031
2,2,119030
1,1,119151
2,1,113031
1,1,119021
1,1,113051
1,1,1191XX
2,2,1110XX
1,1,113021
1,1,119021
2,2,1110XX
1,2,119051
1,1,1110XX
1,1,119041
1,1,1191XX
1,1,113021
1,1,1110XX
1,2,119030
1,2,1110XX
1,2,119111
1,1,119141
2,1,119030
1,2,113121
1,1,112022
1,1,119021
1,1,112021
2,2,112022
2,2,1110XX
1,2,1191XX
1,1,1191XX
2,2,119111
1,1,119021
1,1,1191XX
1,2,113031
2,1,119111
1,2,1191XX
1,2,1191XX
1,2,1191XX
1,2,119111
1,1,1191XX
1,2,111021
1,1,113031
1,1,1191XX
1,1,119070
1,1,113012
2,1,1110XX
1,2,119030
1,2,113131
1,1,113071
1,1,1191XX
1,1,119030
2,2,119070
1,2,119151
1,1,1191XX
1,1,1191XX
2,2,111021
1,1,113031
1,2,119051
1,1,119041
1,2,111021
1,1,1110XX
1,2,113021
1,2,111021
2,1,119021
2,1,119151
1,1,113051
1,1,113012
1,1,119030
1,2,1191XX
1,1,113061
1,1,113071
1,1,119081
1,1,119013
1,2,119051
1,1,119051
1,1,1110XX
1,2,112021
1,2,113031
1,1,111021
1,1,111021
1,2,119111
2,2,119141
1,1,119041
2,2,112022
1,1,1191XX
1,1,111021
1,1,119021
1,2,119030
1,1,119030
1,1,1191XX
1,2,119051
1,2,1191XX
1,1,119030
1,2,113031
1,2,119111
1,2,113031
1,1,119070
1,2,1191XX
1,2,119030
1,2,112030
1,2,1191XX
1,1,119141
1,2,119141
1,1,1191XX
2,2,119030
1,2,119111
1,1,1191XX
1,2,119030
1,2,119111
1,1,1191XX
2,2,1191XX
1,2,111021
1,1,119051
1,1,119051
1,1,119013
1,1,1191XX
1,1,113021
1,1,1110XX
1,1,1110XX
1,1,112021
1,2,119051
2,1,113021
1,1,1191XX
1,1,119013
2,2,1110XX
2,1,111021
1,1,1110XX
1,2,111021
1,1,1191XX
1,1,113071
1,1,119021
1,1,119051
1,2,113031
2,1,1110XX
1,1,1110XX
1,1,111021
2,2,111021
2,1,1191XX
1,1,119013
1,2,119013
1,2,111021
2,1,1110XX
1,1,119051
1,2,113031
1,2,119151
2,2,119051
1,1,119021
1,2,1191XX
1,1,1110XX
2,2,119141
1,1,119021
1,2,112021
2,1,112021
1,1,1191XX
1,1,1191XX
1,2,119151
1,1,119111
2,2,119151
1,2,119141
1,2,113013
1,1,1110XX
1,2,119051
1,2,1191XX
1,2,111021
1,1,113051
2,2,113051
1,1,1191XX
1,2,119030
1,1,1191XX
2,2,113031
2,2,1110XX
1,2,1110XX
1,2,113031
1,2,119141
1,1,119021
2,2,1191XX
1,1,1191XX
1,1,113021
1,1,111021
1,2,119051
1,1,119021
2,2,111021
1,2,111021
1,2,113021
1,1,111021
1,2,119141
1,2,119030
2,1,113051
1,1,112022
1,2,119111
2,2,119051
1,2,111021
1,1,111021
2,2,1191XX
1,1,119021
1,2,1191XX
1,2,1191XX
1,1,113121
1,1,112021
1,1,112030
1,2,111021
1,2,119030
1,1,1191XX
1,1,111021
1,2,113031
1,1,1191XX
1,1,1110XX
1,2,119051
1,2,119111
1,1,119021
2,1,113031
1,2,111021
1,1,111021
2,1,113031
1,1,119141
1,2,1191XX
1,1,1110XX
2,2,112021
1,2,1110XX
1,2,119121
1,2,1110XX
2,1,113061
1,1,1191XX
1,2,1191XX
1,2,119151
1,1,113021
1,1,1191XX
1,1,1110XX
2,2,112022
1,1,112022
1,2,113031
1,1,119041
1,1,119021
1,1,1191XX
1,1,1110XX
1,2,119030
1,1,119021
1,1,119111
1,1,1191XX
1,2,1191XX
1,2,119111
2,1,1110XX
1,1,113021
1,1,1110XX
2,2,1191XX
1,1,111021
1,1,1110XX
1,2,119141
1,1,111021
1,2,112022
1,1,113031
1,1,113031
1,2,119141
1,1,113013
1,2,1110XX
1,1,119030
1,2,119151
2,1,1191XX
1,2,119030
1,2,113121
1,1,1191XX
1,2,113021
1,2,1191XX
1,1,1110XX
1,2,111021
1,1,1191XX
1,2,113012
1,1,119030
1,1,119041
1,1,113131
2,2,1191XX
2,1,1191XX
1,2,113031
1,1,119041
1,1,1191XX
1,1,1191XX
1,1,119081
1,1,113021
1,1,119021
1,1,1191XX
1,1,113021
1,1,1110XX
1,1,1191XX
1,2,1191XX
1,1,113021
1,1,113013
1,2,1191XX
1,1,1110XX
1,2,119141
1,1,112021
1,1,113071
1,2,1110XX
2,2,113131
2,1,113013
1,2,1191XX
1,2,113121
1,1,1191XX
1,1,113071
2,1,112021
1,1,119021
1,1,113031
1,1,1191XX
2,2,119030
1,1,119041
1,1,119111
1,2,1191XX
1,1,111021
1,2,1191XX
1,1,1191XX
1,2,113071
1,1,1110XX
1,1,119021
2,2,1191XX
1,1,113031
1,2,112021
1,1,1110XX
1,2,119111
1,1,1191XX
1,1,1110XX
1,2,1191XX
1,1,113013
2,1,119021
2,2,1191XX
1,1,113071
1,1,119051
1,1,119021
1,1,111021
1,1,113013
2,1,1110XX
1,1,1191XX
1,2,112021
1,1,119030
1,2,1191XX
1,1,119051
1,1,1191XX
1,1,113051
2,2,112030
1,2,113031
2,1,119030
2,2,119030
1,2,1191XX
2,1,1110XX
1,2,1191XX
2,2,1191XX
1,1,1191XX
1,2,119030
1,2,1191XX
1,2,113031
1,1,113051
2,1,119051
2,1,119021
2,2,1191XX
1,2,113051
2,2,119081
1,1,119013
1,2,119141
2,2,119141
1,1,112022
1,1,1191XX
1,1,119013
1,2,1191XX
1,1,112021
1,2,1191XX
2,1,119141
1,1,113031
1,1,1191XX
1,2,112030
1,1,1191XX
1,2,112021
1,1,112021
1,2,1191XX
2,1,113051
2,1,1110XX
1,1,119141
2,2,119111
1,1,119051
1,2,119051
1,2,112021
1,1,1191XX
1,1,119021
2,2,1110XX
1,1,1110XX
2,2,113121
1,1,119041
1,2,112021
2,1,1110XX
1,1,111021
2,2,1191XX
2,1,113012
1,1,113031
1,2,1191XX
1,1,119021
1,1,119151
1,1,113021
1,1,113031
1,2,113051
2,1,119051
1,1,1110XX
2,1,119081
1,1,1110XX
2,1,119013
1,2,1191XX
2,2,1191XX
1,1,1110XX
2,2,113012
2,2,119051
1,1,119021
2,2,113012
1,2,1191XX
2,1,1191XX
1,1,112021
1,2,1191XX
1,2,119041
2,2,119051
1,1,1191XX
1,2,1191XX
1,2,113031
1,1,1191XX
1,2,119030
1,2,119030
1,1,119041
1,1,113031
1,1,111021
1,2,119111
2,1,119051
1,1,1191XX
2,2,119030
1,2,1191XX
1,1,1191XX
1,1,113031
1,1,113031
1,2,113021
2,1,1191XX
1,1,1110XX
1,2,111021
1,1,1191XX
1,1,119021
1,1,112021
1,2,119021
1,1,119021
1,1,111021
1,2,113031
1,1,119021
1,1,113061
1,1,119013
1,1,119013
1,2,113031
2,1,111021
1,1,113031
1,2,1110XX
1,2,1110XX
1,1,1191XX
1,2,1191XX
1,1,1110XX
1,1,113051
1,1,1191XX
1,2,1191XX
1,2,119081
1,1,119081
2,1,119141
1,2,119021
1,1,111021
1,2,1110XX
1,2,1110XX
1,2,1191XX
1,2,119030
1,2,1191XX
1,1,1110XX
1,2,113031
1,1,1191XX
1,1,1191XX
1,1,1191XX
1,1,1110XX
1,2,119030
1,2,119030
1,1,113061
1,1,1110XX
1,2,1110XX
1,2,119030
2,2,111021
1,1,113031
1,2,119030
1,1,113021
1,2,119111
1,2,1110XX
1,2,113021
1,1,1191XX
2,1,1191XX
1,2,119151
1,1,1191XX
1,1,113051
1,2,111021
1,1,113071
1,2,1191XX
1,2,111021
1,2,1191XX
1,1,113021
1,1,113031
1,1,113021
1,2,119030
1,1,119013
1,1,119030
1,2,119030
1,2,1191XX
1,1,119030
2,2,119141
1,1,111021
1,2,119111
1,1,113021
2,2,113031
1,2,119030
2,1,119030
1,2,119151
1,1,111021
1,2,1191XX
2,1,119013
1,2,113031
2,1,112021
1,1,113061
1,1,1191XX
2,1,1191XX
1,1,113071
2,2,113031
1,1,1191XX
1,2,119030
1,1,119021
2,1,119051
1,1,119051
1,2,112030
1,2,119111
1,1,1191XX
2,2,1191XX
1,2,119030
1,2,1191XX
1,2,1191XX
2,2,119111
1,1,1191XX
1,1,1191XX
1,1,1191XX
1,1,1110XX
1,2,1191XX
1,2,113121
1,2,1191XX
1,2,113051
1,1,1191XX
1,1,1110XX
2,1,119021
2,2,112022
1,1,1110XX
1,2,1191XX
1,1,119021
1,1,112022
2,2,113121
1,1,111021
1,2,119013
1,1,1191XX
2,1,1191XX
1,2,1110XX
1,1,113021
1,2,1191XX
1,2,113121
1,1,113061
1,1,119021
1,1,1110XX
1,2,1110XX
1,1,119021
2,1,119051
1,2,119051
1,1,113021
1,1,111021
1,2,119141
2,1,119030
1,2,113031
1,1,1191XX
1,1,119013
1,2,1191XX
1,1,119021
1,1,1191XX
1,1,1191XX
1,2,119151
1,1,1191XX
2,2,119151
1,2,1191XX
1,2,1191XX
1,2,119111
1,1,113021
1,2,1110XX
1,1,1191XX
1,1,1191XX
1,2,1191XX
2,1,1191XX
1,2,113031
1,1,1191XX
1,1,1191XX
1,2,1191XX
2,1,119111
1,1,113021
1,1,1110XX
2,1,112021
1,1,1110XX
1,2,1110XX
1,2,1191XX
1,1,1191XX
1,1,1191XX
1,1,1191XX
1,2,119051
1,2,113031
2,1,119081
2,2,1191XX
1,2,1191XX
2,1,119141
2,2,1191XX
1,1,1191XX
1,1,1191XX
1,1,1191XX
2,1,1191XX
1,1,1191XX
1,2,1191XX
1,1,1191XX
1,1,113021
1,1,113031
2,2,113031
1,1,111021
2,2,113121
1,2,113031
1,1,113071
1,2,113031
1,1,1191XX
1,2,1110XX
1,2,119051
1,1,119021
1,1,1191XX
1,2,119051
1,2,119030
1,1,1191XX
1,1,113131
1,1,119013
2,2,1191XX
1,1,1110XX
2,1,119021
1,1,1191XX
1,1,1191XX
1,2,119111
1,2,1191XX
2,2,1191XX
1,1,111021
1,2,113031
1,1,113021
1,2,119111
1,2,1191XX
1,2,119111
1,1,112022
1,2,119030
1,2,112021
1,1,1191XX
1,1,1191XX
2,2,111021
2,2,119013
1,2,1191XX
1,1,1191XX
1,1,1191XX
1,1,1110XX
1,1,119141
1,2,119030
2,1,119021
1,1,1191XX
1,2,1191XX
1,1,1110XX
1,2,119151
2,1,113013
1,2,113031
1,1,1191XX
1,2,112021
1,2,1191XX
2,1,119030
1,1,1191XX
1,2,113121
1,1,1191XX
1,1,119141
1,2,113031
2,1,113131
1,2,111021
2,2,112022
1,1,113031
1,2,113031
1,1,119151
1,2,119111
1,2,119141
1,1,119021
2,1,119051
1,2,113013
1,2,1191XX
1,1,1191XX
1,2,1191XX
1,2,1191XX
2,1,112022
1,2,113121
1,1,1110XX
1,2,112021
1,1,1110XX
2,2,113031
1,1,1191XX
2,1,1191XX
1,1,1191XX
1,2,1110XX
1,1,113071
1,2,1191XX
1,1,1191XX
1,1,1191XX
1,2,112021
1,1,1191XX
1,2,119111
1,2,1191XX
1,1,1110XX
1,2,1191XX
1,1,119141
1,2,1191XX
1,1,113021
1,1,112022
1,2,113021
1,1,1191XX
1,2,119070
1,1,1191XX
1,2,113031
1,2,113021
2,2,113031
1,2,1191XX
2,1,119021
2,1,119141
1,1,1191XX
1,2,111021
1,1,119021
1,2,1191XX
1,2,119030
1,2,1191XX
1,1,119021
1,1,113013
1,1,112021
1,2,119151
1,1,1191XX
1,2,1191XX
1,2,1191XX
1,1,1110XX
1,2,1191XX
1,2,119013
1,1,119021
2,2,113121
1,1,119021
1,1,119081
1,1,1191XX
1,1,113031
1,1,1110XX
2,1,112022
1,2,1191XX
2,1,1191XX
1,1,119041
1,1,119141
2,2,119111
1,1,1191XX
1,1,113012
1,1,112021
1,1,1191XX
1,2,112022
1,2,1191XX
1,2,119030
1,2,113121
1,2,119141
1,1,1110XX
1,2,119141
2,2,1191XX
2,1,119041
1,2,119151
1,2,1191XX
1,2,119111
1,1,113071
2,1,119051
1,1,119041
1,1,119021
2,2,113031
1,1,113071
1,1,119013
1,2,119151
1,1,119021
1,1,113021
2,1,119041
1,1,113031
1,1,112021
1,1,111021
1,2,113031
1,2,119141
1,1,113021
1,1,111021
1,2,1110XX
1,1,119041
1,2,1191XX
2,2,119030
1,2,119141
2,1,112022
1,2,1191XX
2,1,1191XX
1,2,119030
1,2,111021
1,1,111021
1,2,113121
1,2,113031
1,1,1191XX
1,2,112021
1,1,113051
1,1,1191XX
1,1,119021
1,2,119111
2,1,113061
1,1,113071
1,2,119151
1,2,1191XX
1,2,1191XX
1,2,111021
1,1,113031
1,2,119081
1,1,1191XX
1,1,119013
1,1,112021
1,2,113051
1,2,119141
1,1,119013
1,1,119030
1,1,119051
1,2,111021
1,2,119030
1,1,1191XX
2,2,1191XX
1,2,1191XX
1,1,119051
1,2,119111
1,1,1191XX
1,1,119021
1,2,112021
1,1,119021
2,2,119141
1,1,1191XX
1,2,1191XX
1,2,1191XX
2,1,119041
1,2,119141
1,2,119111
1,2,119111
1,1,1110XX
1,1,113021
1,1,1191XX
2,1,1191XX
1,1,111021
1,2,1110XX
1,1,1110XX
1,2,1191XX
1,1,113021
1,2,1191XX
2,1,113051
1,1,1191XX
1,1,1110XX
1,1,1110XX
1,2,119141
1,2,119051
1,2,1191XX
1,1,1110XX
1,1,119141
1,1,1110XX
1,1,1191XX
1,1,119151
1,1,119041
1,1,119111
1,1,119041
1,2,119030
1,1,112021
1,1,111021
1,1,113031
1,1,119013
1,1,119051
1,1,119111
2,1,119051
1,2,119030
1,1,1191XX
1,2,119051
2,2,1191XX
1,1,113031
1,2,119041
1,1,1191XX
1,1,1191XX
1,1,1191XX
1,2,113031
1,1,1110XX
2,2,119141
1,1,1191XX
1,1,113131
2,2,112022
1,1,1191XX
1,2,1110XX
2,2,119151
1,1,1191XX
1,2,1191XX
1,1,1191XX
1,1,119021
1,1,1191XX
1,2,113121
1,1,1191XX
1,2,1191XX
1,2,1191XX
2,2,113071
2,1,119021
1,2,1191XX
2,2,119021
1,1,1110XX
1,1,113051
1,1,113061
2,1,112022
1,2,113021
2,2,113031
2,1,119021
1,1,119041
2,1,119013
1,2,112011
1,2,1110XX
1,1,1110XX
1,1,113021
1,2,1191XX
1,1,1191XX
1,2,119111
1,1,113021
1,2,113031
1,2,1110XX
1,1,113021
1,1,119111
1,2,119151
2,1,1191XX
1,1,119021
1,1,113021
1,2,112021
1,1,113021
1,2,113031
1,2,113031
1,2,1191XX
1,1,119041
2,1,119021
1,1,119013
1,1,119021
2,2,119030
1,2,113031
1,2,113071
1,1,111021
1,2,119051
1,2,111021
1,1,112022
1,2,119141
1,1,119021
1,1,119021
1,2,113031
2,1,1191XX
1,1,113051
1,1,1191XX
1,1,1191XX
1,1,1191XX
1,1,119013
1,1,1191XX
1,2,113031
1,1,119141
1,2,119141
1,1,112021
2,2,113021
2,1,1110XX
1,2,113031
2,1,1110XX
1,2,1191XX
1,1,1191XX
1,2,1191XX
1,2,1191XX
1,2,1191XX
2,1,1191XX
1,1,119151
1,1,119030
1,2,1191XX
1,2,1191XX
2,2,113121
1,1,119013
1,2,113021
2,1,113051
2,1,1110XX
1,1,112021
2,1,111021
1,2,1191XX
1,1,113021
1,2,113061
1,1,111021
2,2,1191XX
2,2,1191XX
1,1,119151
1,2,112021
1,1,1110XX
1,1,119030
1,1,119041
1,1,119013
2,2,113121
1,2,113031
1,1,1191XX
1,1,1191XX
1,1,1191XX
2,2,119081
1,1,113031
2,2,119051
1,1,1191XX
1,1,119021
1,1,113021
1,1,1191XX
1,1,111021
1,1,113051
1,1,1191XX
1,1,1110XX
2,1,119141
1,1,1110XX
1,2,1191XX
1,1,1191XX
1,2,113071
1,1,1191XX
1,1,119021
1,1,1110XX
2,1,119051
1,2,1191XX
1,2,119151
1,1,1191XX
1,1,119141
1,1,119141
1,2,119141
1,1,1191XX
1,1,119041
1,1,113031
1,2,119111
1,1,1191XX
1,2,112021
1,1,1191XX
1,2,119111
1,2,119030
1,1,119051
2,1,1191XX
2,1,1110XX
1,2,119141
1,1,1110XX
1,1,119111
1,2,1110XX
1,2,111021
1,2,113013
1,1,119070
1,1,1110XX
1,2,119151
1,1,1191XX
1,2,1191XX
1,1,1110XX
2,1,1191XX
1,2,113121
1,1,1110XX
1,2,1191XX
1,1,1191XX
1,2,119111
1,1,1191XX
1,1,1191XX
1,2,119151
1,1,1191XX
1,2,112022
2,2,119111
1,2,113031
1,1,1110XX
1,1,1191XX
1,2,113012
1,2,1191XX
2,1,113013
1,1,1191XX
2,1,1110XX
1,1,113013
1,1,119021
1,1,119021
1,2,111021
1,1,1191XX
2,1,113031
1,2,1110XX
1,1,119013
1,1,112030
1,1,119151
1,1,1110XX
1,2,119111
2,2,113013
1,2,113012
1,1,1191XX
1,1,119141
1,1,111021
1,2,1191XX
1,2,119111
1,1,119021
2,2,113012
1,1,1110XX
1,2,119141
1,2,113121
1,1,1191XX
1,2,119030
2,2,119030
1,1,111021
2,1,1110XX
1,2,1191XX
2,2,119030
1,1,113031
1,1,119021
1,2,1191XX
1,2,119151
1,2,113051
1,1,113121
1,2,1191XX
1,2,111021
1,2,119111
1,1,113021
1,1,1191XX
2,1,1191XX
1,1,119070
1,2,113131
1,2,1191XX
1,2,111021
2,2,1191XX
1,1,1191XX
1,2,113021
2,1,111021
2,2,113121
1,1,1110XX
2,1,1191XX
1,2,112021
2,1,1191XX
2,1,119021
1,1,113031
1,1,119021
1,1,1191XX
2,1,1191XX
1,1,111021
1,2,1191XX
2,1,119041
1,2,113031
2,1,119030
1,1,111021
1,1,119013
1,1,1191XX
1,2,1191XX
1,1,1110XX
1,2,111021
1,1,119013
1,1,1191XX
1,2,1191XX
1,1,1191XX
1,1,119141
1,2,119141
1,1,1110XX
1,1,1110XX
1,2,119030
1,2,119151
1,1,119021
1,2,113031
2,1,119021
1,1,1191XX
2,2,119141
1,1,113031
1,1,1191XX
1,1,111021
1,2,113031
1,1,113021
1,1,1191XX
1,1,1110XX
1,2,1191XX
1,1,1191XX
1,2,1110XX
1,1,113071
1,1,1191XX
1,1,111021
1,2,113051
1,1,113051
1,1,112022
1,2,112021
2,1,1191XX
1,1,112022
1,2,113121
1,2,1110XX
1,2,1191XX
1,1,1191XX
1,1,119141
1,1,1110XX
1,1,1191XX
1,2,1191XX
1,2,111021
1,2,1191XX
1,1,1110XX
1,2,1191XX
1,2,112021
1,1,1110XX
1,2,1110XX
1,2,113031
1,2,119141
1,1,1110XX
1,2,111021
1,2,1191XX
1,1,1191XX
1,2,119030
1,1,113031
1,2,113121
1,2,119141
1,1,113051
2,1,119141
2,2,119141
2,2,119030
1,2,1191XX
2,2,1110XX
2,2,1191XX
2,1,119021
1,2,119030
1,1,112022
1,2,113131
1,1,1191XX
1,1,119041
1,2,112022
1,2,1191XX
1,2,112021
1,2,113031
1,1,119030
1,1,119021
1,1,111021
2,1,119021
1,2,1191XX
1,1,1191XX
1,2,119151
1,1,1110XX
1,2,113031
1,2,113061
1,1,113051
2,2,119030
2,2,112022
1,1,1191XX
2,1,1110XX
1,2,1191XX
1,1,113031
1,1,1110XX
2,1,1110XX
1,2,112021
1,2,1191XX
2,1,119141
1,1,112022
1,1,1191XX
